time,dev_eui,temperature
2024-05-06 00:50:39.835+00,647fda000000aa92,11.2
2024-05-06 01:05:39.848+00,647fda000000aa92,11.0
2024-05-06 01:20:39.855+00,647fda000000aa92,10.8
2024-05-06 01:35:39.866+00,647fda000000aa92,10.6
2024-05-06 01:50:39.876+00,647fda000000aa92,10.5
2024-05-06 02:20:39.896+00,647fda000000aa92,10.1
2024-05-06 02:35:39.906+00,647fda000000aa92,10.0
2024-05-06 02:50:39.916+00,647fda000000aa92,9.9
2024-05-06 03:05:39.924+00,647fda000000aa92,9.8
2024-05-11 19:50:42.886+00,647fda000000aa92,15.5
2024-05-06 03:20:39.923+00,647fda000000aa92,9.7
2024-05-06 03:35:39.932+00,647fda000000aa92,9.6
2024-05-06 03:50:39.942+00,647fda000000aa92,9.6
2024-05-17 21:50:44.326135+00,647fda000000aa92,17.0
2024-05-11 20:50:42.905+00,647fda000000aa92,14.7
2024-05-11 21:05:42.91+00,647fda000000aa92,14.4
2024-05-11 21:20:42.915+00,647fda000000aa92,14.2
2024-05-11 21:35:42.921+00,647fda000000aa92,13.7
2024-05-11 22:20:42.941+00,647fda000000aa92,12.7
2024-05-11 22:35:42.948+00,647fda000000aa92,12.6
2024-05-11 23:35:42.977+00,647fda000000aa92,12.0
2024-05-11 22:50:42.955+00,647fda000000aa92,12.5
2024-05-11 23:05:42.963+00,647fda000000aa92,12.3
2024-05-11 23:50:43.003541+00,647fda000000aa92,11.8
2024-05-11 23:20:42.97+00,647fda000000aa92,12.2
2024-05-12 00:35:43.011+00,647fda000000aa92,11.9
2024-05-12 00:05:42.995+00,647fda000000aa92,12.0
2024-05-12 00:50:43.018+00,647fda000000aa92,12.0
2024-05-12 00:20:43.002+00,647fda000000aa92,11.9
2024-05-12 01:05:43.027+00,647fda000000aa92,12.1
2024-05-12 01:20:43.037887+00,647fda000000aa92,12.2
2024-05-12 01:50:43.05+00,647fda000000aa92,12.1
2024-05-12 01:35:43.042+00,647fda000000aa92,12.2
2024-05-12 02:05:43.058+00,647fda000000aa92,12.2
2024-05-12 02:20:43.077737+00,647fda000000aa92,12.3
2024-05-12 03:05:43.078+00,647fda000000aa92,12.2
2024-05-12 02:35:43.078237+00,647fda000000aa92,12.3
2024-05-12 02:50:43.077+00,647fda000000aa92,12.2
2024-05-12 03:35:43.09+00,647fda000000aa92,12.0
2024-05-12 03:20:43.084+00,647fda000000aa92,12.1
2024-05-12 03:50:43.102113+00,647fda000000aa92,12.0
2024-05-17 23:05:44.335+00,647fda000000aa92,16.2
2024-05-12 04:05:43.104+00,647fda000000aa92,11.9
2024-05-17 22:05:44.330574+00,647fda000000aa92,16.7
2024-05-12 04:20:43.113+00,647fda000000aa92,11.9
2024-05-17 23:50:44.346+00,647fda000000aa92,16.2
2024-05-17 22:35:44.337508+00,647fda000000aa92,16.4
2024-05-18 00:05:44.35+00,647fda000000aa92,16.1
2024-05-18 00:35:44.357+00,647fda000000aa92,16.0
2024-05-30 11:50:48.454+00,647fda000000aa92,17.0
2024-05-18 00:20:44.354+00,647fda000000aa92,16.0
2024-05-18 00:50:44.362+00,647fda000000aa92,15.9
2024-05-18 01:05:44.366+00,647fda000000aa92,15.9
2024-05-18 01:20:44.37+00,647fda000000aa92,15.8
2024-05-18 01:50:44.378+00,647fda000000aa92,15.6
2024-05-18 01:35:44.374+00,647fda000000aa92,15.7
2024-05-18 02:05:44.383+00,647fda000000aa92,15.5
2024-05-18 02:20:44.387+00,647fda000000aa92,15.3
2024-05-18 02:50:44.389+00,647fda000000aa92,15.0
2024-05-18 02:35:44.398467+00,647fda000000aa92,15.3
2024-05-18 03:05:44.388+00,647fda000000aa92,14.8
2024-05-18 03:20:44.391+00,647fda000000aa92,14.7
2024-05-18 03:35:44.394+00,647fda000000aa92,14.7
2024-05-18 03:50:44.399+00,647fda000000aa92,14.7
2024-05-18 04:05:44.403+00,647fda000000aa92,14.8
2024-05-18 04:20:44.407+00,647fda000000aa92,14.8
2024-05-18 04:35:44.412+00,647fda000000aa92,15.0
2024-05-30 13:35:48.457+00,647fda000000aa92,16.5
2024-05-18 04:50:44.417+00,647fda000000aa92,15.0
2024-05-30 13:50:48.467+00,647fda000000aa92,16.5
2024-05-30 14:05:48.463+00,647fda000000aa92,16.5
2024-05-30 14:50:48.483371+00,647fda000000aa92,16.5
2024-05-30 14:20:48.468+00,647fda000000aa92,16.5
2024-05-30 14:35:48.478+00,647fda000000aa92,16.4
2024-05-30 15:05:48.484+00,647fda000000aa92,16.5
2024-05-30 15:35:48.500261+00,647fda000000aa92,16.6
2024-05-30 16:20:48.502+00,647fda000000aa92,16.7
2024-05-30 15:50:48.495+00,647fda000000aa92,16.6
2024-05-30 16:35:48.505+00,647fda000000aa92,16.7
2024-05-30 16:05:48.498+00,647fda000000aa92,16.6
2024-05-30 16:50:48.508+00,647fda000000aa92,16.7
2024-05-30 17:05:48.505+00,647fda000000aa92,16.6
2024-05-30 17:50:48.515+00,647fda000000aa92,16.5
2024-05-30 17:20:48.508+00,647fda000000aa92,16.5
2024-05-30 18:05:48.519+00,647fda000000aa92,16.4
2024-05-30 17:35:48.511+00,647fda000000aa92,16.6
2024-05-30 18:20:48.522+00,647fda000000aa92,16.3
2024-05-30 18:35:48.528+00,647fda000000aa92,16.1
2024-05-11 21:50:42.927+00,647fda000000aa92,13.4
2024-05-30 19:20:48.548+00,647fda000000aa92,15.8
2024-05-30 18:50:48.533+00,647fda000000aa92,16.1
2024-05-30 19:35:48.557+00,647fda000000aa92,15.7
2024-05-30 19:05:48.54+00,647fda000000aa92,16.0
2024-05-30 20:35:48.577+00,647fda000000aa92,15.7
2024-05-11 22:05:42.934+00,647fda000000aa92,13.0
2024-05-30 19:50:48.564+00,647fda000000aa92,15.7
2024-05-30 21:20:48.589+00,647fda000000aa92,15.6
2024-05-30 20:50:48.582+00,647fda000000aa92,15.7
2024-05-30 21:35:48.594+00,647fda000000aa92,15.6
2024-05-30 21:05:48.585+00,647fda000000aa92,15.7
2024-05-30 20:05:48.568+00,647fda000000aa92,15.7
2024-05-30 20:20:48.572+00,647fda000000aa92,15.7
2024-05-30 21:50:48.599+00,647fda000000aa92,15.5
2024-05-30 22:05:48.603+00,647fda000000aa92,15.5
2024-05-06 04:20:39.963+00,647fda000000aa92,9.8
2024-05-30 22:20:48.607+00,647fda000000aa92,15.6
2024-05-06 04:05:39.952+00,647fda000000aa92,9.6
2024-05-12 04:35:43.127077+00,647fda000000aa92,11.9
2024-05-18 05:05:44.423+00,647fda000000aa92,15.0
2024-05-06 04:35:39.972+00,647fda000000aa92,10.0
2024-05-12 04:50:43.129+00,647fda000000aa92,11.8
2024-05-06 04:50:39.983+00,647fda000000aa92,10.2
2024-05-12 05:35:43.153+00,647fda000000aa92,11.8
2024-05-24 14:05:46.48+00,647fda000000aa92,20.3
2024-05-18 05:20:44.426+00,647fda000000aa92,15.0
2024-05-12 05:05:43.136+00,647fda000000aa92,11.7
2024-05-30 22:35:48.613+00,647fda000000aa92,15.7
2024-05-06 05:05:39.993+00,647fda000000aa92,10.3
2024-05-06 05:20:40.01+00,647fda000000aa92,10.4
2024-05-06 05:50:40.029+00,647fda000000aa92,10.9
2024-05-06 05:35:40.02+00,647fda000000aa92,10.6
2024-05-12 05:20:43.144+00,647fda000000aa92,11.7
2024-05-06 06:20:40.046+00,647fda000000aa92,11.4
2024-05-06 06:05:40.038+00,647fda000000aa92,11.2
2024-05-06 06:35:40.055+00,647fda000000aa92,11.7
2024-05-06 12:20:40.16+00,647fda000000aa92,21.0
2024-05-30 12:20:48.453+00,647fda000000aa92,17.2
2024-05-11 20:35:42.9+00,647fda000000aa92,14.9
2024-05-06 06:50:40.063+00,647fda000000aa92,12.0
2024-05-17 22:50:44.331+00,647fda000000aa92,16.2
2024-05-06 08:05:40.106+00,647fda000000aa92,13.0
2024-05-06 07:05:40.071+00,647fda000000aa92,12.1
2024-05-06 07:20:40.084+00,647fda000000aa92,12.2
2024-05-06 07:35:40.093+00,647fda000000aa92,12.4
2024-05-06 07:50:40.099+00,647fda000000aa92,12.7
2024-05-30 22:50:48.617+00,647fda000000aa92,15.8
2024-05-12 05:50:43.16+00,647fda000000aa92,12.0
2024-05-06 08:20:40.112+00,647fda000000aa92,13.3
2024-05-06 08:35:40.119+00,647fda000000aa92,13.6
2024-05-06 12:35:40.165759+00,647fda000000aa92,20.8
2024-05-06 08:50:40.125+00,647fda000000aa92,13.9
2024-05-06 09:20:40.135+00,647fda000000aa92,14.9
2024-05-06 09:05:40.131+00,647fda000000aa92,14.3
2024-05-06 09:50:40.155136+00,647fda000000aa92,16.2
2024-05-06 09:35:40.144686+00,647fda000000aa92,15.1
2024-05-06 12:50:40.167+00,647fda000000aa92,20.6
2024-05-06 10:05:40.151263+00,647fda000000aa92,17.0
2024-05-06 10:20:40.162166+00,647fda000000aa92,17.7
2024-05-06 11:05:40.156+00,647fda000000aa92,18.2
2024-05-06 10:35:40.163596+00,647fda000000aa92,17.7
2024-05-06 11:20:40.158+00,647fda000000aa92,19.8
2024-05-06 11:35:40.159+00,647fda000000aa92,20.6
2024-05-06 10:50:40.155+00,647fda000000aa92,17.7
2024-05-06 13:20:40.163+00,647fda000000aa92,19.2
2024-05-06 11:50:40.167+00,647fda000000aa92,21.0
2024-05-12 06:05:43.167+00,647fda000000aa92,12.3
2024-05-06 13:05:40.163+00,647fda000000aa92,20.2
2024-05-06 13:35:40.174732+00,647fda000000aa92,20.4
2024-05-06 13:50:40.165+00,647fda000000aa92,20.3
2024-05-06 12:05:40.159+00,647fda000000aa92,21.1
2024-05-06 14:35:40.180155+00,647fda000000aa92,19.5
2024-05-06 14:50:40.168+00,647fda000000aa92,21.1
2024-05-06 14:20:40.161+00,647fda000000aa92,20.5
2024-05-06 14:05:40.166+00,647fda000000aa92,20.5
2024-05-06 15:05:40.167+00,647fda000000aa92,22.1
2024-05-07 02:35:40.428616+00,647fda000000aa92,10.6
2024-05-06 15:20:40.167+00,647fda000000aa92,22.4
2024-05-06 15:50:40.168+00,647fda000000aa92,21.1
2024-05-06 16:20:40.17+00,647fda000000aa92,19.5
2024-05-06 15:35:40.167+00,647fda000000aa92,21.7
2024-05-06 16:35:40.180902+00,647fda000000aa92,19.5
2024-05-06 17:05:40.169+00,647fda000000aa92,18.6
2024-05-06 16:05:40.178775+00,647fda000000aa92,20.1
2024-05-06 17:35:40.174+00,647fda000000aa92,17.2
2024-05-06 16:50:40.172+00,647fda000000aa92,19.8
2024-05-06 17:50:40.169+00,647fda000000aa92,16.9
2024-05-07 02:50:40.428+00,647fda000000aa92,10.4
2024-05-06 18:05:40.172+00,647fda000000aa92,16.6
2024-05-06 17:20:40.171+00,647fda000000aa92,17.7
2024-05-06 18:50:40.191+00,647fda000000aa92,15.6
2024-05-06 18:20:40.176+00,647fda000000aa92,16.3
2024-05-06 19:05:40.198+00,647fda000000aa92,15.4
2024-05-06 19:20:40.21+00,647fda000000aa92,15.3
2024-05-06 18:35:40.188434+00,647fda000000aa92,16.0
2024-05-06 20:05:40.224+00,647fda000000aa92,14.9
2024-05-06 19:35:40.214+00,647fda000000aa92,15.0
2024-05-06 20:20:40.240618+00,647fda000000aa92,14.7
2024-05-06 20:35:40.242134+00,647fda000000aa92,14.5
2024-05-06 19:50:40.219+00,647fda000000aa92,15.0
2024-05-12 06:20:43.174+00,647fda000000aa92,12.6
2024-05-06 20:50:40.239+00,647fda000000aa92,14.4
2024-05-06 21:05:40.244+00,647fda000000aa92,14.2
2024-05-06 21:50:40.272568+00,647fda000000aa92,13.7
2024-05-06 21:20:40.25+00,647fda000000aa92,13.9
2024-05-07 03:05:40.434+00,647fda000000aa92,10.3
2024-05-06 21:35:40.256+00,647fda000000aa92,13.8
2024-05-06 22:50:40.287+00,647fda000000aa92,13.3
2024-05-06 22:20:40.274+00,647fda000000aa92,13.5
2024-05-06 22:05:40.268+00,647fda000000aa92,13.6
2024-05-06 23:05:40.294+00,647fda000000aa92,13.0
2024-05-06 23:35:40.308+00,647fda000000aa92,12.4
2024-05-06 23:20:40.301+00,647fda000000aa92,12.8
2024-05-06 22:35:40.291731+00,647fda000000aa92,13.4
