time,dev_eui,temperature
2023-05-27 12:34:11.938+00,647fda000000aa92,24.1
2023-05-23 12:04:09.238+00,647fda000000aa92,25.0
2023-05-28 07:19:08.865+00,647fda000000aa92,23.3
2023-05-28 07:34:08.869+00,647fda000000aa92,23.4
2023-05-28 07:49:08.869+00,647fda000000aa92,23.4
2023-05-28 08:04:08.863+00,647fda000000aa92,23.5
2023-05-28 08:19:08.862+00,647fda000000aa92,23.5
2023-05-28 08:34:08.861+00,647fda000000aa92,23.6
2023-05-28 08:49:08.86+00,647fda000000aa92,23.6
2023-05-28 09:04:08.859+00,647fda000000aa92,23.7
2023-05-28 09:19:08.859+00,647fda000000aa92,23.8
2023-05-28 09:34:08.858+00,647fda000000aa92,23.8
2023-05-28 09:49:08.857+00,647fda000000aa92,23.9
2023-05-28 10:04:08.856+00,647fda000000aa92,24.0
2023-05-28 10:19:08.856+00,647fda000000aa92,24.1
2023-05-28 10:34:08.854+00,647fda000000aa92,24.1
2023-05-28 10:49:08.854+00,647fda000000aa92,24.2
2023-05-28 11:04:08.852+00,647fda000000aa92,24.2
2023-05-28 11:19:08.851+00,647fda000000aa92,24.4
2023-05-28 11:34:08.85+00,647fda000000aa92,24.4
2023-05-28 11:49:08.857+00,647fda000000aa92,24.4
2023-05-28 12:04:08.848+00,647fda000000aa92,24.5
2023-05-28 12:19:08.847+00,647fda000000aa92,24.5
2023-05-28 12:34:08.847+00,647fda000000aa92,24.5
2023-05-28 12:49:08.845+00,647fda000000aa92,24.5
2023-05-28 13:04:08.849+00,647fda000000aa92,24.5
2023-05-28 13:19:08.843+00,647fda000000aa92,24.6
2023-05-28 13:34:08.842+00,647fda000000aa92,24.5
2023-05-28 14:04:08.84+00,647fda000000aa92,24.6
2023-05-28 14:19:08.838+00,647fda000000aa92,24.6
2023-05-28 14:34:08.836+00,647fda000000aa92,24.6
2023-05-28 14:49:08.835+00,647fda000000aa92,24.6
2023-05-28 15:04:08.835+00,647fda000000aa92,24.7
2023-05-28 15:19:08.833+00,647fda000000aa92,24.7
2023-05-28 15:49:08.831+00,647fda000000aa92,24.8
2023-05-28 16:04:08.835+00,647fda000000aa92,24.8
2023-05-28 16:19:11.841+00,647fda000000aa92,24.7
2023-05-28 16:34:08.828+00,647fda000000aa92,24.7
2023-05-28 16:49:11.834+00,647fda000000aa92,24.7
2023-05-28 17:04:08.825+00,647fda000000aa92,24.7
2023-05-28 17:19:08.825+00,647fda000000aa92,24.7
2023-05-28 17:34:08.823+00,647fda000000aa92,24.8
2023-05-28 17:49:08.821+00,647fda000000aa92,24.8
2023-05-28 18:04:11.826+00,647fda000000aa92,24.8
2023-05-28 18:19:08.82+00,647fda000000aa92,24.8
2023-05-28 18:34:08.819+00,647fda000000aa92,24.7
2023-05-28 18:49:08.819+00,647fda000000aa92,24.7
2023-05-28 19:04:08.817+00,647fda000000aa92,24.7
2023-05-28 19:19:08.816+00,647fda000000aa92,24.7
2023-05-28 19:34:08.815+00,647fda000000aa92,24.6
2023-05-28 19:49:08.814+00,647fda000000aa92,24.6
2023-05-28 20:04:08.812+00,647fda000000aa92,24.6
2023-05-28 20:19:08.811+00,647fda000000aa92,24.5
2023-05-28 20:34:08.81+00,647fda000000aa92,24.5
2023-05-28 20:49:08.814+00,647fda000000aa92,24.5
2023-05-28 21:34:08.805+00,647fda000000aa92,24.4
2023-05-28 21:49:11.816+00,647fda000000aa92,24.3
2023-05-28 22:04:08.803+00,647fda000000aa92,24.3
2023-05-28 22:19:08.802+00,647fda000000aa92,24.3
2023-05-28 22:34:08.801+00,647fda000000aa92,24.3
2023-05-28 22:49:08.8+00,647fda000000aa92,24.2
2023-05-28 23:04:08.799+00,647fda000000aa92,24.2
2023-05-28 23:19:08.797+00,647fda000000aa92,24.2
2023-05-28 23:34:11.803+00,647fda000000aa92,24.2
2023-05-28 23:49:08.795+00,647fda000000aa92,24.1
2023-05-29 00:04:08.794+00,647fda000000aa92,24.1
2023-05-29 00:19:11.8+00,647fda000000aa92,24.1
2023-05-29 00:34:08.792+00,647fda000000aa92,24.1
2023-05-29 00:49:08.791+00,647fda000000aa92,24.0
2023-05-29 01:04:08.79+00,647fda000000aa92,24.0
2023-05-29 01:19:08.789+00,647fda000000aa92,23.9
2023-05-29 01:34:11.794+00,647fda000000aa92,24.0
2023-05-29 01:49:08.787+00,647fda000000aa92,23.9
2023-05-29 02:04:08.786+00,647fda000000aa92,23.9
2023-05-29 02:19:08.785+00,647fda000000aa92,23.9
2023-05-29 02:34:08.79+00,647fda000000aa92,23.8
2023-05-29 02:49:08.789+00,647fda000000aa92,23.8
2023-05-29 03:04:08.783+00,647fda000000aa92,23.8
2023-05-29 03:19:08.781+00,647fda000000aa92,23.8
2023-05-29 03:49:08.778+00,647fda000000aa92,23.7
2023-05-29 04:04:08.778+00,647fda000000aa92,23.7
2023-05-29 04:34:08.775+00,647fda000000aa92,23.6
2023-05-29 04:49:08.78+00,647fda000000aa92,23.7
2023-05-29 05:04:08.779+00,647fda000000aa92,23.7
2023-05-29 05:19:08.772+00,647fda000000aa92,23.7
2023-05-29 05:34:08.771+00,647fda000000aa92,23.7
2023-05-29 05:49:08.77+00,647fda000000aa92,23.7
2023-05-29 06:04:08.77+00,647fda000000aa92,23.7
2023-05-29 06:19:08.768+00,647fda000000aa92,23.8
2023-05-29 06:34:08.767+00,647fda000000aa92,23.8
2023-05-29 06:49:08.766+00,647fda000000aa92,23.7
2023-05-29 07:04:08.765+00,647fda000000aa92,23.9
2023-05-29 07:19:08.765+00,647fda000000aa92,23.9
2023-05-29 07:34:08.762+00,647fda000000aa92,24.0
2023-05-29 07:49:08.763+00,647fda000000aa92,24.0
2023-05-29 08:04:08.761+00,647fda000000aa92,24.1
2023-05-29 08:19:08.76+00,647fda000000aa92,24.1
2023-05-29 08:34:08.759+00,647fda000000aa92,24.2
2023-05-29 08:49:08.758+00,647fda000000aa92,24.3
2023-05-29 09:04:08.758+00,647fda000000aa92,24.3
2023-05-29 09:19:08.756+00,647fda000000aa92,24.4
2023-05-29 09:34:11.767+00,647fda000000aa92,24.4
2023-05-29 09:49:08.76+00,647fda000000aa92,24.4
2023-05-29 10:19:08.751+00,647fda000000aa92,24.5
2023-05-29 10:34:08.75+00,647fda000000aa92,24.5
2023-05-29 10:49:08.749+00,647fda000000aa92,24.6
2023-05-29 11:04:08.748+00,647fda000000aa92,24.7
2023-05-29 11:19:08.746+00,647fda000000aa92,24.7
2023-05-29 11:49:08.752+00,647fda000000aa92,24.9
2023-05-29 12:04:08.75+00,647fda000000aa92,24.9
2023-05-29 12:19:08.749+00,647fda000000aa92,24.9
2023-05-29 12:34:08.742+00,647fda000000aa92,24.9
